word,english
a gente,we people
acadar,to end
achar,to find
ademais,in addition
agora,now
agora vamos então,now let's go then
algo,something
aluno,student
amar,to love
ano,year
antes,before
aquelas,those
artigo,article
assim,so / like this
boa,good (f)
bom,good (m)
bonita,beautiful
cada,each
calendário,calendar
casa,house
certo,correct / sure / ok
chegar,to arrive
coisa,thing
começar,to begin
como,how / as / like
como vai?,how are you?
comuns,common
consideração,consideration
criador,creator (m)
criadora,creator (f)
criar,create
culta,culture
dar,give
dar,to give
de / do / da / das,of
de hoje,for today
décimo/a,tenth
dela,her
dele,his
demais,too much
dez,ten
dia,day
diferente,different
difícil,difficult
diverso,diverse
dividir,divide
dizer,tell
e,and
ela,she
ele,he / it / him
eles,they
em / no / na,in / on / at
então,so / then
errado,wrong
específico,specific
esta,this
estamos aqui,we are here
estar,be (mut)
estar,be
este,this
et cetera,etc
eu,I
eu faço música no meu tempo livre,I make music in my spare time
eu gostaria a falar sobre a música,I would like to talk about music
eu gostaria que,I would like that
eu sou a Dan,I'm Dan
eu vou,I'll / I will
eu vou falar sobre,I will talk about
expressão,expression
extensão,extension
fácil,easy
falar,speak / talk
fazer,to do
feia,ugly
feliz,happy
ficar,to stay
forma,form
forte,strong
fraca,weak
frase,phrase
gente,people
gostar,to like
gostaria de,I would like to
gostaria de falar com você,I would like to talk with you
gramática,grammar
grande,big
guitarra,guitar
hoje,today
homem,man
ideia,idea
importante,important
instrumento,instrument
ir,to go
lembre-se de dar,remember to give
liçâo,lesson
língua,language
longe,far
lugar,place
mais,more
mais usadas,most used
mas,but
melhor,best
meu,my
meus,my
minha,my
minhas,my
morar,live
mudar,change
muito,much
muito legal,very cool
mulher,woman
música,music
músico,musician
na verdade,in truth
não,no
nono/a,ninth
nós,we
nós vamos,we go
nossa,wow / our
"nossa, que legal","wow, how cool"
nosso,our
novo,new
nunca,never
o / a / os / as,the
ocupado,busy
oitivo/a,eigth
olá,Hello
onde,where
ótima,great
ou,or
ouvir,to listen
país,country
palavra,word
palavrinhas,small words
para,for / to
parecer,to seem
passar,to pass
pedir,to ask
pelo menos,at least
pequeno,small
perto,near
pior,worse
poder,can
português,Portuguese
pouco,little
primeira,first
principalmente,mainly
próximo tempo,next time
quais,which
quais instrumentos musicais você toca?,what musical instruments do you play?
qual,which
quanto,as
quarto/a,fourth
que,what/that/who
que música você gosta?,what music do you like?
quem,who
querer,to want
questão,question
quinto/a,fifth
raiz,root
referir,to refer
região,region
ruim,bad
sair,to go out
se,if / itself
segundo/a,second
sempre,always
senhor,sir
senhora,madam
ser,to be
série,series
sétimo/a,seventh
seu,your
sexto/a,sixth
sim,yes
só,only
sobre,on/over/about
sua,your
sugerir,suggest
Sul,south
talvez,maybe
também,also
tanto,both
tem,has / there is
tempo,time
ter,to have
ter,to have
terceiro/a,third
territorial,territorial
tocar,to play
tocar guitarra,to play guitar
tratamento,treatment
triste,sad
tudo bem?,all right?
um / uma / uns / umas,a / an / some
usar,use
vamos então,let's go then
velho,old
ver,to see
ver,to see
verdade,truth
vez,time
vídeo,video
violão,guitar
vir,come over
você,you
porque,why
nem,not