word,english,gender
artigo,article,
criador,creator,m
criadora,creator,f
dia,day,m
expressão,expression,
guitarra,guitar,
violão,guitar,
casa,house,f
instrumento,instrument,
liçâo,lesson,
senhora,madam,f
homem,man,m
música,music,
músico,musician,
gente,people,
frase,phrase,
lugar,place,
português,Portuguese,
série,series,
senhor,sir,m
aluno,student,
dez,ten,
coisa,thing,f
tempo,time,m
vez,time,
hoje,today,
vídeo,video,
mulher,woman,f
palavra,word,
ano,year,
agora,now,
hoje,today,
ideia,idea,
pouco,little,m
calendário,calendar,